person_id,name,gender,abuser_project_count
1015830,Al Weaver,2,1
1015885,Adam Folk,0,1
1015891,Peter Phok,0,1
1015896,Adrian G. Griffiths,2,2
10159,Jane Greer,1,2
1015919,Trenton Perez,2,1
1015920,A. John A. Bryan Jr.,0,1
1015921,Ethan Smith,2,3
1015925,Gina Grande,1,1
1015987,Christopher B. MacCabe,2,1
10160,Rhonda Fleming,1,3
101606,Hamilton Camp,2,2
101609,Abigail Clayton,1,1
10161,Richard Webb,2,1
101612,Hyla Marrow,0,1
101615,Frank Pesce,2,3
1016158,Clay Jeter,0,1
1016168,Lily James,1,1
1016169,Cam Chaney,0,1
10162,Steve Brodie,2,2
101627,Daryl Goldberg,2,1
101628,Sam Freeman,0,1
101629,Kim Koby,0,1
10163,Virginia Huston,1,1
101630,Thomas R. Rondinella,0,1
101631,Richard Ziman,0,1
10164,Paul Valentine,2,1
1016433,Kevin Porter,2,2
1016455,Janusz Morgenstern,2,1
10165,Dickie Moore,2,2
101652,Jennifer Runyon,1,1
101658,Tom Nolan,2,3
1016595,Agostino Borgato,2,2
10166,Ken Niles,2,1
101660,Ken Gibbel,0,1
101662,Lori Sutton,1,1
1016646,George Guhl,0,1
10167,George Lazenby,2,1
101678,Kieron Moore,2,1
101687,Alison Faulk,1,1
1016870,Todd Nealey,2,1
10169,Telly Savalas,2,4
10170,Ilse Steppat,0,2
101708,James Jude Courtney,0,1
10171,Angela Scoular,0,1
1017182,Siobhan Taylor,0,1
101723,Catherine Lacey,1,1
1017234,Evan Hayes,0,1
101731,Kari French,0,1
1017323,Lanette Fugit,0,1
1017347,Brenton Thwaites,2,1
10174,Bernard Horsfall,2,1
101742,Leonard Mudie,2,1
101752,Ray Sharkey,2,2
101753,Judy Landers,1,2
101756,Lynn Borden,1,1
101765,John Steadman,2,1
101768,Virginia Vincent,1,1
10177,Stanley Sopel,2,1
101781,James Murtaugh,2,2
1017854,Ruby Thomas,0,1
1017996,Peter McCarthy,0,2
1018,Nikolaj Lie Kaas,2,2
101802,Patrick Durham,2,2
1018047,Dana Daniels,2,1
1018071,Robert Malina,0,1
1018082,Matthew O'Toole,0,1
1018106,S. Craig Zahler,2,1
1018113,Toby Wing,0,1
10182,Ving Rhames,2,17
1018310,Michael Sassone,2,1
101847,Lance E. Nichols,2,2
101851,Barry Morse,2,1
101874,Ace Mask,0,1
1018751,André Nemec,2,2
1018752,Eric J. Crown,0,1
101878,Lou Krugman,0,1
1018804,Lucy Angelo,1,1
101882,James Bush,0,2
101885,George Archainbaud,2,3
101890,Maurice Black,2,1
1018947,Maximiliano Hernández,2,1
1018961,Bob Sullivan,0,1
1018967,John Manfredi,0,1
1018975,Glen Basner,2,1
101899,Walter Grauman,2,1
1019,Mads Mikkelsen,2,2
10190,Jill St. John,1,1
101902,Cindy Eilbacher,0,1
101905,Monika Schnarre,1,1
101908,Maxwell Caulfield,2,3
10191,Lana Wood,1,1
1019115,Thelma Oliver,0,1
1019116,Marketa Kimbrell,0,1
10192,Jimmy Dean,2,1
10193,Putter Smith,0,1
10194,Bruce Glover,2,2
1019408,Bembol Roco,0,1
101949,David Gilliam,2,1
10195,Norman Burton,2,3
101953,Neil Flanagan,2,1
1019578,Peter Dillon,2,1
10196,Joseph Furst,2,1
101963,Harry Locke,2,1
101971,Gwen Van Dam,1,1
101981,Robert Lott,2,1
1019865,Adetomiwa Edun,0,1
1019878,Patrick Goyette,0,1
1019917,Paolo Gozlino,2,1
1019918,Jean Louis,0,1
101995,Mona Barrie,0,1
1019987,Bing Yin,0,1
102,Deborah Harry,1,4
102002,Minerva Urecal,1,1
1020027,Carly Craig,1,2
1020051,Laura Rister,1,1
1020052,Joshua Blum,0,1
1020053,Michael Corso,2,2
1020054,Rose Ganguzza,1,1
1020139,Radu Banzaru,2,1
1020326,Mauro Mannatrizio,0,1
102037,Harry Fine,2,1
10205,Sigourney Weaver,1,10
102064,Lynne Overman,2,2
1020687,Alex Mallari Jr.,0,1
10207,William Hope,0,4
1020736,John Yost,2,1
1020740,Don Hardy Jr.,0,2
1020742,Dana Nachman,0,3
1020781,Cynthia Adkisson,1,1
1020946,Beege Barkette,0,1
102096,Antonio Molino Rojo,0,3
10210,Daniel Kash,2,3
102101,William Berger,2,1
1021035,Christian Mulot,0,1
10212,Ricco Ross,0,1
102121,Romano Puppo,0,2
10215,Paul McCartney,2,2
1021684,Charlotte Le Bon,1,1
1021734,Lise Dietrich,0,1
1021841,John T. Murray,2,2
1021869,Ian Michael Smith,2,1
102209,Erik Estrada,2,5
1022217,Donald Waugh,0,1
10223,Jane Seymour,1,1
10224,Clifton James,2,2
10225,Geoffrey Holder,2,1
1022794,Eric Wostenberg,0,1
102306,Armando Silvestre,2,1
1023134,Molly Hassell,0,1
1023139,Adam Driver,2,1
102323,Gary McCleery,2,1
102327,Francis McDonald,2,1
102328,Rodd Redwing,0,1
102342,Mary Ann Fisher,0,1
102358,Bernard Schubert,0,1
1023674,Alan Wade,0,1
1023786,David Lee,2,1
1023934,Philip Morris,2,1
102395,Reed Hollister,0,1
102400,Ted Fox,2,1
102403,David Sherrill,2,2
102413,Johnny Liska,0,1
102414,Caia Coley,1,1
1024143,Malana Lea,1,1
102421,Mike Hatfield,0,1
102426,Billy Curtis,2,2
1024264,Peter Koch,0,1
1024274,Ken Kao,0,1
102428,Julie Corman,1,2
102429,Roger Corman,2,2
1024351,Claudio Trionfi,0,1
102439,John Terlesky,2,1
102441,Dick Miller,2,2
1024431,Millard Webb,2,2
102445,John Sayles,2,1
102448,Melody Thomas Scott,1,2
102453,Marcie Barkin,0,2
102454,John Lawlor,2,1
1024637,Ex-Det. Sergt. Bishop,2,1
1024722,Annalise Basso,1,1
1024823,Brian A Miller,0,2
1024837,Eric Brenner,0,1
10249,Volker Schlöndorff,2,1
1025337,William Davidson,2,1
10254,Mario Adorf,2,1
10255,Angela Winkler,1,1
1025520,Hilde Krahl,1,1
1025523,Guido Wieland,0,1
1025647,Alexander Asefa,0,3
102567,Randy Oglesby,2,4
102569,Richard Blum,0,1
102570,Bonnie Hellman,1,1
102576,John Otrin,2,1
102578,Kevin Sifuentes,0,1
1025963,Iulia Verdes,0,1
1025970,Robert Gerdisch,2,1
10262,Andréa Ferréol,1,3
1026225,LeShay N. Tomlinson,1,1
1026247,Stacy Perskie,0,1
10263,Heinz Bennent,2,1
102630,Marc Toberoff,0,2
1026316,Claudio Biern Boyd,0,1
1026321,Paul Zindel,2,1
102638,Terrence O'Hara,2,1
10264,Ilse Pagé,0,2
102648,Jill Gatsby,1,1
102650,John Herman Shaner,0,1
102660,Nicolas Read,0,1
102663,Brook Williams,2,2
1026825,Joy McBrinn,1,2
102687,John Howard,2,3
102691,Jeannie Millar,1,1
1026947,Dascha Polanco,1,1
102696,Stanley Yung,0,1
1027024,Doug Wick,0,1
1027025,Megan Ellison,1,5
102707,William Prael,2,1
102709,David Price,0,1
102710,Michael Wiseman,2,1
102714,Terence Knox,2,1
1027145,Andrew J. Smith,2,1
102719,Ed Grady,2,1
1027196,Theo Caesar,0,1
1027197,Tad Truesdale,0,1
1027198,Renee Banks,0,1
1027200,Bobby Liddell,0,1
1027218,Douglas MacArthur,2,1
1027298,Geraldine Singer,1,1
1027374,Kelly Deadmon,0,1
102742,Patrick Sabongui,2,1
102744,Monique Ganderton,1,1
1027545,Riza Aziz,0,1
1027550,Joey McFarland,0,1
