imdb_id,moviedb_id
tt0100192,45265
tt0100229,433762
tt0100232,427910
tt0100403,169
tt0100436,8428
tt0100449,10729
tt0100486,38718
tt0100514,6723
tt0100519,18971
tt0100530,10170
tt0100594,24016
tt0100606,26426
tt0100685,1662
tt0100708,123781
tt0100740,20701
tt0100802,861
tt0100813,26612
tt0100921,374449
tt0100975,55952
tt0100994,9086
tt0101501,54843
tt0101507,650
tt0101524,42570
tt0101531,28553
tt0101544,346737
tt0101587,1406
tt0101666,68199
tt0101740,105293
tt0101793,246900
tt0101835,213755
tt0101836,213756
tt0101837,213758
tt0101838,213757
tt0101840,119149
tt0101854,260328
tt0101902,25221
tt0101917,11284
tt0101984,22423
tt0101997,121032
tt0102005,2453
tt0102032,22792
tt0102034,8010
tt0102059,9595
tt0102116,25598
tt0102128,68390
tt0102138,820
tt0102175,1713
tt0102303,6524
tt0102329,215130
tt0102411,31633
tt0102460,21219
tt0102485,45888
tt0102493,122937
tt0102526,10952
tt0102614,14362
tt0102661,92931
tt0102685,1089
tt0102691,79927
tt0102749,41780
tt0102761,115201
tt0102798,8367
tt0102975,174
tt0103064,280
tt0103193,215123
tt0103241,10276
tt0103263,234944
tt0103670,7015
tt0103673,102203
tt0103696,49292
tt0103804,222346
tt0103805,18631
tt0103874,6114
tt0103897,266196
tt0103920,127741
tt0103961,55596
tt0103962,41682
tt0103963,252236
tt0104006,37753
tt0104118,22795
tt0104142,12447
tt0104155,5237
tt0104254,13225
tt0104257,881
tt0104265,4823
tt0104311,215131
tt0104346,16219
tt0104348,9504
tt0104356,261601
tt0104431,772
tt0104522,33221
tt0104647,14603
tt0104732,340036
tt0104766,29096
tt0104779,10497
tt0104805,223691
tt0104812,36709
tt0104839,9096
tt0104864,108424
tt0104870,87321
tt0104942,279692
tt0104990,15300
tt0104997,191534
tt0105104,10538
tt0105109,123935
tt0105128,10906
tt0105151,10403
tt0105165,2613
tt0105343,303432
tt0105450,23196
tt0105690,8845
tt0105789,61418
tt0105809,61265
tt0105810,17736
tt0105812,10158
tt0105813,19380
tt0105885,70489
tt0106175,70859
tt0106244,38160
tt0106307,11044
tt0106386,41598
tt0106387,4104
tt0106393,32049
tt0106455,22213
tt0106464,76264
tt0106479,62039
tt0106519,6075
tt0106662,148667
tt0106673,11566
tt0106676,47945
tt0106684,33927
tt0106697,9739
tt0106728,280736
tt0106732,256880
tt0106877,65137
tt0106918,37233
tt0107048,137
tt0107079,39349
tt0107091,12187
tt0107096,31642
tt0107110,426626
tt0107130,78133
tt0107144,9255
