person_id,name,gender
nm0910607,Christoph Waltz,2
nm1925239,Jack O'Connell,2
nm0334441,Holliday Grainger,1
nm0302108,Zach Galifianakis,2
nm1285162,Matthew Morrison,2
nm0390903,Tom Hollander,2
nm5353321,Cara Delevingne,1
nm6463103,Cressida Bonas,1
nm0571727,Kevin McKidd,2
nm0362873,David Harewood,2
nm0768936,Joanna Scanlan,1
nm0388061,Douglas Hodge,2
nm0273797,Sebastian Armesto,2
nm0621382,Michael Nardone,2
nm3055497,Daisy Lowe,1
nm0384826,Anastasia Hille,1
nm0806968,Michael Smiley,2
nm0891943,Johnny Vegas,2
nm0149491,Justin Chadwick,2
nm0001779,Tom Stoppard,2
nm0654077,Alison Owen,1
nm0595738,Deborah Moggach,1
nm2254074,Bella Thorne,1
nm1185747,Cameron Monaghan,2
nm0607185,Jennifer Morrison,1
nm0000492,Jennifer Jason Leigh,1
nm1837588,Taylor Spreitler,1
nm3287038,Thomas Mann,2
nm0001748,Kurtwood Smith,2
nm5085683,Mckenna Grace,1
nm1671147,Cleopatra Coleman,1
nm0451076,Franck Khalfoun,2
nm2322853,Claire Holt,1
nm0601553,Mandy Moore,1
nm1404137,Chris Johnson,2
nm0312454,Yani Gellman,2
nm4461700,Santiago Segura,2
nm0000546,Matthew Modine,2
nm1266897,Johannes Roberts,2
nm2448068,James Harris,0
nm1676089,Will Clarke,2
nm2222628,Wayne Marc Godfrey,0
nm0429134,Robert Jones,2
nm1010017,Andy Mayson,0
nm0419650,Jay-Z,2
nm1739645,Adriana DeMeo,0
nm0762191,Nick Sandow,2
nm3117334,Jenner Furst,0
nm0322047,David Glasser,2
nm0719637,Jeremy Renner,2
nm0647634,Elizabeth Olsen,1
nm0083655,Gil Birmingham,2
nm2080328,Kelsey Asbille,1
nm1256532,Jon Bernthal,2
nm0001295,Graham Greene,2
nm1247407,Julia Jones,1
nm1129746,Tokala Clifford,0
nm2028579,James Jordan,2
nm1441925,Eric Lange,2
nm0092026,Ian Bohen,2
nm0227003,Hugh Dillon,2
nm0215682,Matthew Del Negro,2
nm3897067,Teo Briones,2
nm0001987,Tantoo Cardinal,1
nm0032009,Apesanahkwat,0
nm1083077,Blake Robbins,2
nm5173220,Austin R. Grant,0
nm0499824,Norman Lehnert,2
nm0000916,Peter Berg,2
nm0313531,Matthew George,2
nm0792263,Taylor Sheridan,2
nm0000190,Matthew McConaughey,2
nm0397171,Bryce Dallas Howard,1
nm1183149,Edgar Ramírez,2
nm3985937,Timothy Simons,2
nm0484678,Michael Landes,2
nm0005078,Stacy Keach,2
nm1592225,Rachael Taylor,1
nm0339304,Bruce Greenwood,2
nm0005266,Craig T. Nelson,2
nm1015684,Corey Stoll,2
nm1527905,Toby Kebbell,2
nm0086301,Macon Blair,0
nm0131966,Bill Camp,2
nm1254942,Lora Martinez-Cunningham,1
nm0939703,Frank Wood,2
nm0480775,Adam LeFevre,2
nm0961185,Dylan Kenin,2
nm0367176,Joshua Harto,2
nm0656275,Matthew Page,2
nm0125637,Jackamoe Buzzell,0
nm0095552,Sahajak Boonthanakit,2
nm2175530,Kristen Rakes,1
nm4958641,Stafford Douglas,2
nm6685227,Richard Beal,0
nm0737276,Hank Rogerson,0
nm2456350,Jacob Browne,0
nm0422211,Bob Jesser,0
nm3024380,Bhavesh Patel,0
nm3624617,Cheo Tapia,2
nm0131994,Joanne Camp,1
nm7377921,Danny Winn,0
